Name,Attention,Address 1,Address 2,City,State,Zip Code,Phone,Credential,Licensee Type,First Issued Date,Expiration Date,License Status,Status Reason,Supervisor License,Supervisor Name,Supervision Type,Supervisor License Status,Supervisor Expiration,
AMERICAN SAFE & VAULT SERVICE LLC,,25935 DETROIT RD # 204,,WESTLAKE,OH,44145-2452,(440) 779-6066,53.18.5052,Fire Protection Organization - Company,02/09/2016,07/01/2027,Active,ACTIVE,,,,,,
RGT SERVICES DBA TEH FOWLER COMPANY,,26185 BROADWAY AVE,,BEDFORD,OH,44146-6512,(440) 786-9777,53.18.5055,Fire Protection Organization - Company,05/16/2016,07/01/2027,Active,ACTIVE,,,,,,
OCTAVIAN R PANDREA DBA REDSHIFT TECHNOLOGY,,7620 ISAAC DR,,CLEVELAND,OH,44130-6223,(888) 604-7367,53.18.5057,Fire Protection Organization - Company,06/06/2016,07/01/2027,Active,ACTIVE,,,,,,
CITI ELECTRIC,,12815 ELMWOOD AVE,,CLEVELAND,OH,44111-5913,(216) 688-2484,53.18.5058,Fire Protection Organization - Company,08/26/2016,07/01/2027,Active,ACTIVE,,,,,,
R J PLATTEN CONTRACTING COMPANY,,14490 YORK RD,,NORTH ROYALTON,OH,44133-4502,(440) 237-8070,53.18.5059,Fire Protection Organization - Company,03/14/2017,07/01/2027,Active,ACTIVE,,,,,,
ALTERNALITE ELECTRIC INC,,4171 LINDEN CIR,,NORTH OLMSTED,OH,44070-2981,(440) 777-7800,53.18.5060,Fire Protection Organization - Company,04/04/2017,07/01/2027,Active,ACTIVE,,,,,,
SMYLIE ONE HEATING & COOLING INC,,5108 RICHMOND RD,,BEDFORD HEIGHTS,OH,44146-1331,(440) 449-4328,53.18.5062,Fire Protection Organization - Company,08/03/2017,07/01/2027,Active,ACTIVE,,,,,,
PROSPECT ELECTRIC LLC,,45 W PROSPECT AVE STE 910 GH,,CLEVELAND,OH,44115-1039,(216) 621-6848,53.18.5063,Fire Protection Organization - Company,09/01/2017,07/01/2027,Active,ACTIVE,,,,,,
SAFENET PHASE III LLC,,6351 W 29TH ST,,CLEVELAND,OH,44134-4257,(440) 252-9006,53.18.5064,Fire Protection Organization - Company,09/28/2017,07/01/2027,Active,ACTIVE,,,,,,
BIG CREEK PLUMBING,,6709 PEARL RD,,PARMA HEIGHTS,OH,44130-3804,(440) 743-7032,53.18.5065,Fire Protection Organization - Company,10/31/2017,07/01/2027,Active,ACTIVE,,,,,,
ANTHONY ALLEGA CEMENT CONTRACTOR INC,,5146 ALLEGA WAY,,RICHFIELD,OH,44286-9817,(216) 447-0814,53.18.5066,Fire Protection Organization - Company,12/26/2017,07/01/2027,Active,ACTIVE,,,,,,
BUILDING INTEGRATED SERVICES,,7777 FIRST PL,,BEDFORD,OH,44146-6733,(330) 733-9191,53.18.5069,Fire Protection Organization - Company,05/29/2018,07/01/2027,Active,ACTIVE,,,,,,
CENTERLINE PLUMBING CONTRACTORS LLC,,7007 GRANT AVE,,CLEVELAND,OH,44105-5631,(216) 762-1010,53.18.5070,Fire Protection Organization - Company,06/04/2018,07/01/2027,Active,ACTIVE,,,,,,
NOVA ELECTRIC LLC,,17117 HUNTING MEADOWS DR,,STRONGSVILLE,OH,44136-6227,(440) 428-7400,53.18.5073,Fire Protection Organization - Company,10/15/2018,07/01/2027,Active,ACTIVE,,,,,,
PM ELECTRIC LLC,,8611 PIN OAK DR,,PARMA,OH,44130-7655,(216) 287-6347,53.18.5074,Fire Protection Organization - Company,03/26/2019,07/01/2027,Active,ACTIVE,,,,,,
A BBC CONTRACTING LLC,,9115 RENO AVE,,CLEVELAND,OH,44105-2122,(216) 352-1600,53.18.5075,Fire Protection Organization - Company,04/16/2019,07/01/2027,Active,ACTIVE,,,,,,
NE1 FIRE PROTECTION LLC,,879 W BAGLEY RD,,BEREA,OH,44017-2903,(440) 539-4512,53.18.5076,Fire Protection Organization - Company,06/18/2019,07/01/2027,Active,ACTIVE,,,,,,
ALL SERVICE PLUMBING LLC,,10 CORPORATION CTR DRIVE,,BROADVIEW HEIGHTS,OH,44147-3265,330-321-2886,53.18.5077,Fire Protection Organization - Company,10/01/2019,07/01/2027,Active,ACTIVE,,,,,,
CABLING CONCEPTS INC,,18407 DETROIT AVE,,LAKEWOOD,OH,44107-3312,(216) 226-9203,53.18.5078,Fire Protection Organization - Company,10/23/2019,07/01/2027,Active,ACTIVE,,,,,,
LAKE ERIE MECHANICAL,,7626 STATE RD,,PARMA,OH,44134-6169,(216) 225-8864,53.18.5079,Fire Protection Organization - Company,10/30/2019,07/01/2027,Active,ACTIVE,,,,,,
HARB SECURITY SYSTEMS LLC,,5211 BROOKPARK RD,,CLEVELAND,OH,44134-1045,(440) 783-0216,53.18.5081,Fire Protection Organization - Company,03/18/2020,07/01/2027,Active,ACTIVE,,,,,,
SYSTEMS OHIO INC,,2218 CEDARVIEW DR,,BEACHWOOD,OH,44122-1222,(216) 825-2300,53.18.5082,Fire Protection Organization - Company,04/20/2020,07/01/2027,Active,ACTIVE,,,,,,
US COMMUNICATIONS & ELECTRIC INC,,4933 NEO PKWY,,CLEVELAND,OH,44128-3103,(216) 478-0810,53.18.5083,Fire Protection Organization - Company,06/10/2020,07/01/2027,Active,ACTIVE,,,,,,
MMI SYSTEMS LLC DBA SECURITY ZONE,,400 WYLESWOOD DR,,BEREA,OH,44017-2441,(440)292-5503,53.18.5084,Fire Protection Organization - Company,07/08/2020,07/01/2027,Active,ACTIVE,,,,,,
OHM ELECTRIC INC,,23400 AURORA RD STE 6,,BEDFORD,OH,44146-1738,(440) 232-0708,53.18.5086,Fire Protection Organization - Company,07/08/2020,07/01/2027,Active,ACTIVE,,,,,,
DOUBLE ENTERPRISES LTD,,9591 YORK ALPHA DR,,NORTH ROYALTON,OH,44133-3515,(440) 230-9000,53.18.5091,Fire Protection Organization - Company,12/15/2020,07/01/2027,Active,ACTIVE,,,,,,
MRN LIMITED PARTNERSHIP,,PO BOX 14100,,CLEVELAND,OH,44114-0100,(216) 696-6611,53.18.5093,Fire Protection Organization - Company,10/06/2021,07/01/2027,Active,ACTIVE,,,,,,
GARDINER FIRE & SECURITY LLC,,31200 BAINBRIDGE RD,,SOLON,OH,44139-2297,(440) 248-3400,53.18.5094,Fire Protection Organization - Company,01/24/2022,07/01/2027,Active,ACTIVE,,,,,,
ADVANCED SECURITY OF OHIO,,23000 MASTICK RD,,NORTH OLMSTED,OH,44070-3882,(440) 237-7601,53.18.5095,Fire Protection Organization - Company,02/23/2022,07/01/2027,Active,ACTIVE,,,,,,
CBG MIDWEST LLC DBA BASS SECURITY SERVICES,,26701 RICHMOND RD,,BEDFORD,OH,44146-1449,(216) 755-1200,53.18.5096,Fire Protection Organization - Company,02/28/2022,07/01/2027,Active,ACTIVE,,,,,,
VETERANS ELECTRICAL GROUP LLC,,8100 GRAND AVE STE 700,,CLEVELAND,OH,44104-3168,(216) 201-0239,53.18.5099,Fire Protection Organization - Company,07/03/2023,07/01/2027,Active,ACTIVE,,,,,,
SUMMIT FIRE & SECURITY LLC,,1250 NORTHLAND DR STE 200,,MENDOTA HEIGHTS,MN,55120-1174,,53.18.5101,Fire Protection Organization - Company,10/21/2022,07/01/2027,Active,ACTIVE,,,,,,
ICU SECURITY SOLUTIONS INC,,173 SANDSTONE RIDGE WAY,,BEREA,OH,44017-1082,(440) 554-9895,53.18.5102,Fire Protection Organization - Company,10/25/2022,07/01/2027,Active,ACTIVE,,,,,,
GDK CONSULTANTS LLC,,347 SPYGLASS DR,,FAIRLAWN,OH,44333-9211,(440) 725-9602,53.18.5103,Fire Protection Organization - Company,11/15/2022,07/01/2027,Active,ACTIVE,,,,,,
CVELBAR ELECTRIC LLC,,9132 MEADOW LN,,BRECKSVILLE,OH,44141-1643,(440) 539-8354,53.18.5106,Fire Protection Organization - Company,02/08/2023,07/01/2027,Active,ACTIVE,,,,,,
BM SPRINKLER HOLDINGS LLC,,4250 W 130TH ST,,CLEVELAND,OH,44135-4870,(216) 476-2500,53.18.5108,Fire Protection Organization - Company,10/03/2023,07/01/2027,Active,ACTIVE,,,,,,
REGAL FIRE PROTECTION LLC,,3500 PROSPECT AVE E,,CLEVELAND,OH,44115,(440) 462-8683,53.18.5109,Fire Protection Organization - Company,12/14/2023,07/01/2027,Active,ACTIVE,,,,,,
K & B ELECTRICAL SOLUTIONS LLC,,19934 W KERRY PL,,STRONGSVILLE,OH,44149-0917,(440) 829-5562,53.18.5110,Fire Protection Organization - Company,01/29/2024,07/01/2027,Active,ACTIVE,,,,,,
CUSTOM MEDIA SYSTEMS DBA WELLMAN & GRIFFITH,,22775 LORAIN RD,,CLEVELAND,OH,44126-2222,(440) 734-2322,53.18.5111,Fire Protection Organization - Company,02/09/2024,07/01/2027,Active,ACTIVE,,,,,,
ASHE FIRE PROTECTION LLC,,7779 COACHMAN CT,,BRECKSVILLE,OH,44141-1015,(440) 665-7732,53.18.5112,Fire Protection Organization - Company,04/02/2024,07/01/2027,Active,ACTIVE,,,,,,
JOHNSON CONTROLS INC,,6650 W SNOWVILLE RD STE M,,BRECKSVILLE,OH,44141-4301,(216) 518-5903,53.18.5113,Fire Protection Organization - Company,06/28/2024,07/01/2027,Active,ACTIVE,,,,,,
CLAIM THE VICTORY,,9115 VALLEY VIEW RD,,MACEDONIA,OH,44056-2012,(330)329-4261,53.18.5116,Fire Protection Organization - Company,03/18/2025,07/01/2027,Active,ACTIVE,,,,,,
TECH TWIST SOLUTIONS LLC,,29271 LORAIN RD,,NORTH OLMSTED,OH,44070-3904,(216) 333-8000,53.18.5117,Fire Protection Organization - Company,03/27/2025,07/01/2027,Active,ACTIVE,,,,,,
AMERICAN RESIDENTIAL SERVICES LLC DBA ARS PLUMBING & RESCUE,,4505 INDUSTRIAL PKWY,,CLEVELAND,OH,44135-4541,(216) 749-4600,53.18.5118,Fire Protection Organization - Company,03/31/2025,07/01/2027,Active,ACTIVE,,,,,,
SHKAYEV INSTALLATION LLC,,3237 E MONMOUTH RD,,CLEVELAND HEIGHTS,OH,44118-4237,(440) 749-9012,53.18.5121,Fire Protection Organization - Company,07/22/2025,07/01/2027,Active,ACTIVE,,,,,,
JDW SERVICES LLC,,3969 W 165TH ST,,CLEVELAND,OH,44111-4238,(440) 207-0977,53.18.5122,Fire Protection Organization - Company,08/20/2025,07/01/2027,Active,ACTIVE,,,,,,
360 HEATING AND COOLING LLC,,10321 JASPER RD,,CLEVELAND,OH,44111-3833,(330) 883-2713,53.18.5124,Fire Protection Organization - Company,02/11/2026,07/01/2027,Active,ACTIVE,,,,,,
RTD ELECTRICAL SOLUTIONS LLC,,25975 EMERY RD,,CLEVELAND,OH,44128-5726,(216) 336-7721,53.18.5125,Fire Protection Organization - Company,03/12/2026,07/01/2027,Active,ACTIVE,,,,,,
HIVE SYSTEMS INC,,4441 MICHAEL AVE,,NORTH OLMSTED,OH,44070-2916,(216) 548-5676,53.18.5126,Fire Protection Organization - Company,06/30/2026,07/01/2027,Active,ACTIVE,,,,,,
BREAKWATER PLUMBING LLC,,7810 PLANTATION DR,,BRECKSVILLE,OH,44141-1068,(440) 665-0225,53.18.5127,Fire Protection Organization - Company,07/08/2026,07/01/2027,Active,ACTIVE,,,,,,
BLACK DOG BUILDERS LLC,,PO BOX 19203,,CLEVELAND,OH,44119-0203,(440) 341-7892,53.18.5128,Fire Protection Organization - Company,08/06/2026,07/01/2027,Active,ACTIVE,,,,,,
CORSILLO PLUMBING & SEWER CLEANING CO,,23850 SAINT CLAIR AVE,,EUCLID,OH,44117-2518,(440) 461-2200,53.18.5129,Fire Protection Organization - Company,08/18/2026,07/01/2027,Active,ACTIVE,,,,,,
BUDS ELECTRIC INC,,3548 STATE ROUTE 49,,ARCANUM,OH,45304-9731,(937)692-8096,53.19.1008,Fire Protection Organization - Company,07/09/1993,07/01/2027,Active,ACTIVE,,,,,,
3-WAY ELECTRIC INC,,710 HIDDESON AVE,PO BOX 171,GREENVILLE,OH,45331,(937)548-8843,53.19.1011,Fire Protection Organization - Company,07/21/1995,07/01/2027,Active,ACTIVE,,,,,,
LIGHTNING ELECTRIC INC,,3992 GETTYSBURG PITSBURG RD,,ARCANUM,OH,45304-9725,(937)316-8035,53.19.1016,Fire Protection Organization - Company,03/05/2003,07/01/2027,Active,ACTIVE,,,,,,
CALVIN ELECTRIC LLC,,PO BOX 10,,CLAYTON,OH,45315-0010,,53.19.1018,Fire Protection Organization - Company,05/07/2012,07/01/2027,Active,ACTIVE,,,,,,
M & T EXCAVATING,,9565 NEW HARRISON BRADFORD RD,,BRADFORD,OH,45308-9502,(937) 448-2765,53.19.1020,Fire Protection Organization - Company,03/14/2016,07/01/2027,Active,ACTIVE,,,,,,
LK & SONS EXCAVATING LLC,,11334 FENNER RD,,LAURA,OH,45337-8844,(937) 947-1163,53.19.1021,Fire Protection Organization - Company,02/23/2018,07/01/2027,Active,ACTIVE,,,,,,
LUTHMAN ELECTRIC LLC,,10268 CHRISTIAN RD,,VERSAILLES,OH,45380-9580,(937) 423-2841,53.19.1022,Fire Protection Organization - Company,02/05/2019,07/01/2027,Active,ACTIVE,,,,,,
RUHENKAMP ELECTRIC LLC,,PO BOX 68,,NORTH STAR,OH,45350-0068,(937) 467-6937,53.19.1024,Fire Protection Organization - Company,07/28/2021,07/01/2027,Active,ACTIVE,,,,,,
AOK FIRE PROTECTION LLC,,6655 WESTFALL RD,,GREENVILLE,OH,45331-9244,(937) 548-3473,53.19.1025,Fire Protection Organization - Company,04/16/2022,07/01/2027,Active,ACTIVE,,,,,,
MOORE TECH SOLUTIONS LLC,,6311 REQUARTH RD,,GREENVILLE,OH,45331-9216,(937) 459-1230,53.19.1026,Fire Protection Organization - Company,12/19/2022,07/01/2027,Active,ACTIVE,,,,,,
DK SYSTEMS LLC,,1202 PARKWAY DR,,GREENVILLE,OH,45331-2651,(937) 564-3724,53.19.1027,Fire Protection Organization - Company,05/29/2025,07/01/2027,Active,ACTIVE,,,,,,
GREEN ELECTRICAL SERVICES LLC,,1486 STATE ROUTE 49,,ARCANUM,OH,45304-8605,(937) 551-3019,53.19.1028,Fire Protection Organization - Company,07/14/2026,07/01/2027,Active,ACTIVE,,,,,,
STOLLSTEIMER ELECTRIC INC,,19989 SWITZER RD,,DEFIANCE,OH,43512-6716,(419)782-2623,53.20.1009,Fire Protection Organization - Company,08/19/1998,07/01/2027,Active,ACTIVE,,,,,,
HIGHLAND CENTER ELECTRIC,,27622 HOFFMAN RD,,DEFIANCE,OH,43512-8979,(419) 395-2577,53.20.1010,Fire Protection Organization - Company,05/22/2014,07/01/2027,Active,ACTIVE,,,,,,
RENSI DIRT WORKS,,PO BOX 303,,DEFIANCE,OH,43512-0303,(419) 769-4383,53.20.1012,Fire Protection Organization - Company,09/09/2026,07/01/2027,Active,ACTIVE,,,,,,
COUNTRYSIDE ELECTRIC INC,,2920 SWITZER AVE,,COLUMBUS,OH,43219-2372,(614) 478-7960,53.21.0001,Fire Protection Organization - Company,06/24/1991,07/01/2027,Active,ACTIVE,,,,,,
TRUCCO CONSTRUCTION CO INC,,3531 AIRPORT RD,,DELAWARE,OH,43015,(740)417-9010,53.21.0004,Fire Protection Organization - Company,08/05/1992,07/01/2027,Active,ACTIVE,,,,,,
SELLERS ELECTRIC CO INC,,PO BOX 347,,DELAWARE,OH,43015,(740)369-3211,53.21.0008,Fire Protection Organization - Company,07/09/1993,07/01/2027,Active,ACTIVE,,,,,,
OHIO WESLEYAN UNIVERSITY,,61 S SANDUSKY ST,,DELAWARE,OH,43015-2333,(740) 368-3352,53.21.0012,Fire Protection Organization - Company,09/05/1996,07/01/2027,Active,ACTIVE,,,,,,
UNION ELECTRIC & COMMUNICATIONS LLC,,259 VERNON AVE,,DELAWARE,OH,43015-2037,(740)362-4447,53.21.0018,Fire Protection Organization - Company,08/25/2000,07/01/2027,Active,ACTIVE,,,,,,
IRONSITE INC,,PO BOX 304,DBA FACEMYER COMPANY,SUNBURY,OH,43074-0304,(740)965-4616,53.21.0020,Fire Protection Organization - Company,07/09/2004,07/01/2027,Active,ACTIVE,,,,,,
INDCO ELECTRICAL CONTRACTORS,,130 STELZER COURT,STE A,SUNBURY,OH,43074,(740)965-9212,53.21.0028,Fire Protection Organization - Company,07/03/2008,07/01/2027,Active,ACTIVE,,,,,,
PROELITE SECURITY SYSTEMS LLC,,3139 RYAN MEADOW PL,,GALENA,OH,43021,(614)203-1111,53.21.0032,Fire Protection Organization - Company,04/15/2011,07/01/2027,Active,ACTIVE,,,,,,
EATON PLUMBING INC,,5600 E WALNUT ST,,WESTERVILLE,OH,43081-8229,(614)891-7005,53.21.1004,Fire Protection Organization - Company,07/16/1991,07/01/2027,Active,ACTIVE,,,,,,
EMERGENCY PLUMBING HEATING AND AIR,,PO BOX 91,,DELAWARE,OH,43015-0091,,53.21.1009,Fire Protection Organization - Company,02/20/2014,07/01/2027,Active,ACTIVE,,,,,,
S&S MIDWEST FIRE PROTECTION LLC,,PO BOX 294,,LEWIS CENTER,OH,43035-0294,(614) 396-8631,53.21.1012,Fire Protection Organization - Company,02/23/2015,07/01/2027,Active,ACTIVE,,,,,,
JCORR LLC DBA JCORR MECHANICAL,,9002 COTTER ST,,LEWIS CENTER,OH,43035-7101,(614) 880-4111,53.21.1015,Fire Protection Organization - Company,06/02/2017,07/01/2027,Active,ACTIVE,,,,,,
COMMUNICATION COMPANY OF OHIO,,5320 S MAIN ST,,SOUTH BEND,IN,46614-5285,,53.21.1016,Fire Protection Organization - Company,06/03/2019,07/01/2027,Active,ACTIVE,,,,,,
COLUMBUS BACKFLOW TESTING CO & FIRE,,1491 POLARIS PKWY STE 177,,COLUMBUS,OH,43240-2041,(614) 654-3569,53.21.1017,Fire Protection Organization - Company,03/05/2020,07/01/2027,Active,ACTIVE,,,,,,
OUTLAW FIRE PROTECTION LLC,,3073 CLARK SHAW RD,,POWELL,OH,43065-9716,(614) 314-6704,53.21.1020,Fire Protection Organization - Company,11/15/2021,07/01/2027,Active,ACTIVE,,,,,,
NORDCO ELECTRIC LLC,,4730 PITTMAN RD,,DELAWARE,OH,43015-9048,(740) 815-8573,53.21.1022,Fire Protection Organization - Company,02/17/2023,07/01/2027,Active,ACTIVE,,,,,,
OHIO BACKFLOW & FIRE,,9271 WINDY CREEK DR,,COLUMBUS,OH,43240-6013,(419) 545-1060,53.21.1023,Fire Protection Organization - Company,05/30/2023,07/01/2027,Active,ACTIVE,,,,,,
HARRIS ELECTRICAL SERVICES INC,,12744 FANCHER RD,,WESTERVILLE,OH,43082-9508,(614) 554-8744,53.21.1024,Fire Protection Organization - Company,08/28/2023,07/01/2027,Active,ACTIVE,,,,,,
BENSEN FIRE & SAFETY CONSULTING LTD,,8350 US HIGHWAY 23 N,,DELAWARE,OH,43015-9784,(740) 726-2000,53.21.1025,Fire Protection Organization - Company,04/10/2025,07/01/2027,Active,ACTIVE,,,,,,
EPRO FIRE SERVICES LLC,,1491 POLARIS PKWY # 217,,COLUMBUS,OH,43240-2041,(614) 212-7739,53.21.1026,Fire Protection Organization - Company,12/15/2025,07/01/2027,Active,ACTIVE,,,,,,
RDL BACKFLOW & FIRE LLC,,27 LANDRUM AVE,,CENTERBURG,OH,43011-8023,(419) 566-4463,53.21.1027,Fire Protection Organization - Company,02/05/2026,07/01/2027,Active,ACTIVE,,,,,,
FIRELANDS ELECTRIC INC,,2721 COLUMBUS AVE,,SANDUSKY,OH,44870,(419)626-4908,53.22.1007,Fire Protection Organization - Company,06/28/1991,07/01/2027,Active,ACTIVE,,,,,,
BRADY SIGN COMPANY,,1721 HANCOCK ST,,SANDUSKY,OH,44870-4121,(419)626-5112,53.22.1008,Fire Protection Organization - Company,06/27/1991,07/01/2027,Active,ACTIVE,,,,,,
GILBERT HEATING & AIR COND INC,,2121 CLEVELAND RD,,SANDUSKY,OH,44870-4412,(419)625-8875,53.22.1014,Fire Protection Organization - Company,06/14/1991,07/01/2027,Active,ACTIVE,,,,,,
SAFE HARBOR SECURITY & FIRE LLC,,3812 LIBERTY AVE,,VERMILION,OH,44089-2334,(440)967-5135,53.22.1021,Fire Protection Organization - Company,06/27/1991,07/01/2027,Active,ACTIVE,,,,,,
STEVENS ENGINEERS & CONST,,7850 FREEWAY CIR STE 100,,MIDDLEBURG HEIGHTS,OH,44130-6317,(440)234-7888,53.22.1023,Fire Protection Organization - Company,07/16/1991,07/01/2027,Active,ACTIVE,,,,,,
SATTELIGHT ELECTRIC INC,,PO BOX 197,,VERMILION,OH,44089-0197,(440) 967-1444,53.22.1029,Fire Protection Organization - Company,10/19/1994,07/01/2027,Active,ACTIVE,,,,,,
PALAZZO BROTHERS ELECTRIC INC,,2811 STATE ROUTE 18,,NORWALK,OH,44857-8829,(419)668-1100,53.22.1030,Fire Protection Organization - Company,12/06/1994,07/01/2027,Active,ACTIVE,,,,,,
ALL PHASE POWER AND LIGHTING,,2122 CAMPBELL ST,PO BOX 2515,SANDUSKY,OH,44870-4816,(419)626-8140,53.22.1032,Fire Protection Organization - Company,02/16/1996,07/01/2027,Active,ACTIVE,,,,,,
ALARMING CONCEPTS LTD,,3250 E STATE RD # B2,,PORT CLINTON,OH,43452-2543,(419)359-1852,53.22.1034,Fire Protection Organization - Company,03/20/1996,07/01/2027,Active,ACTIVE,,,,,,
GROSS BROS/DICK WEST PLBG & HTG INC,,1024 DOUGLAS ST,PO BOX 362,VERMILION,OH,44089-1206,(440)967-6121,53.22.1038,Fire Protection Organization - Company,11/06/2000,07/01/2027,Active,ACTIVE,,,,,,
PARKER EXCAVATING INC,,321 INDUSTRIAL PKWY,,SANDUSKY,OH,44870-5883,(419)626-1638,53.22.1039,Fire Protection Organization - Company,03/30/2001,07/01/2027,Active,ACTIVE,,,,,,
GUNDLACH SHEET METAL WORKS INC,,910 COLUMBUS AVE,,SANDUSKY,OH,44870-3553,(419)626-4525,53.22.1045,Fire Protection Organization - Company,02/17/2009,07/01/2027,Active,ACTIVE,,,,,,
CT ELECTRICAL SERVICES LLC,,210 W PERKINS AVE STE 2,,SANDUSKY,OH,44870-9004,(419)202-2434,53.22.1046,Fire Protection Organization - Company,09/02/2011,07/01/2027,Active,ACTIVE,,,,,,
KJC MECHANICAL LLC,,2016 E PERKINS AVE STE B,,SANDUSKY,OH,44870-5129,(419) 366-2312,53.22.1048,Fire Protection Organization - Company,03/16/2020,07/01/2027,Active,ACTIVE,,,,,,
SAFEGUARD FIRE SERVICE LLC,,139 CHAPPEL ST,PO BOX 904,KELLEYS ISLAND,OH,43438,(614) 570-7585,53.22.1049,Fire Protection Organization - Company,06/10/2020,07/01/2027,Active,ACTIVE,,,,,,
OAK ELECTRIC SERVICE INC DBA GREAT LAKES ELECTRIC,,PO BOX 575,7 N MAIN ST,MILAN,OH,44846-0575,(419) 499-4157,53.22.1050,Fire Protection Organization - Company,04/07/2025,07/01/2027,Active,ACTIVE,,,,,,
CLAYPOOL ELECTRIC INC,,1275 LANCASTER KIRKERSVILLE RD NW,,LANCASTER,OH,43130-8969,(740)653-5683,53.23.1002,Fire Protection Organization - Company,07/16/1991,07/01/2027,Active,ACTIVE,,,,,,
SECURE-TEL INC,,221 WHITTIER DR N,,LANCASTER,OH,43130-1439,(740)687-1072,53.23.1014,Fire Protection Organization - Company,07/16/1991,07/01/2027,Active,ACTIVE,,,,,,
PROLINE ELECTRIC INC,,1755 VICTOR RD NW,,LANCASTER,OH,43130-0100,(740)687-4571,53.23.1033,Fire Protection Organization - Company,12/17/1996,07/01/2027,Active,ACTIVE,,,,,,
WELLINGTON POWER CORP,,177 THORN HILL RD,,WARRENDALE,PA,15086-7527,(724) 779-4000,53.23.1035,Fire Protection Organization - Company,08/12/1997,07/01/2027,Active,ACTIVE,,,,,,
SOUTH CENTRAL POWER CO,,720 MILL PARK DR,,LANCASTER,OH,43130-7933,1(800)282-5064,53.23.1036,Fire Protection Organization - Company,05/05/1998,07/01/2027,Active,ACTIVE,,,,,,
FRAZIER ELECTRIC INC,,593 WHILEY RD,,LANCASTER,OH,43130,(740)689-3719,53.23.1042,Fire Protection Organization - Company,05/03/2000,07/01/2027,Active,ACTIVE,,,,,,
AARMSTRONG ELECTRIC OF OHIO LLC,,3983 CARROLL SOUTHERN RD,,CARROLL,OH,43112-9702,(614)778-8652,53.23.1045,Fire Protection Organization - Company,11/14/2001,07/01/2027,Active,ACTIVE,,,,,,
JD PLATINUM ELECTRIC LLC,,5975 COONPATH RD,,CARROLL,OH,43112-9754,(614) 332-0106,53.23.1048,Fire Protection Organization - Company,12/02/2004,07/01/2027,Active,ACTIVE,,,,,,
OHIO SOUND LLC,,12954 STONECREEK DR,,PICKERINGTON,OH,43147-8840,(614)833-2700,53.23.1055,Fire Protection Organization - Company,05/23/2011,07/01/2027,Active,ACTIVE,,,,,,
PROTECTION PLUS,,PO BOX 363,,PICKERINGTON,OH,43147,(614)833-4144,53.23.1058,Fire Protection Organization - Company,10/13/2011,07/01/2027,Active,ACTIVE,,,,,,
THOMPSON EXCAVATION LTD,,6182 WINCHESTER RD,PO BOX 440,CARROLL,OH,43112-9764,(740)756-7256,53.23.1059,Fire Protection Organization - Company,05/07/2012,07/01/2027,Active,ACTIVE,,,,,,
CARD TECHNOLOGIES & SERVICES LLC,,424 S BROAD ST,,LANCASTER,OH,43130-4324,740-215-4704,53.23.1063,Fire Protection Organization - Company,09/30/2015,07/01/2027,Active,ACTIVE,,,,,,
ALLIED DEVELOPMENT GROUP,,4966 CHILLICOTHE LANCASTER RD SW,,LANCASTER,OH,43130-8915,(740) 969-1077,53.23.1065,Fire Protection Organization - Company,03/11/2016,07/01/2027,Active,ACTIVE,,,,,,
RAYCO MECHANICAL INC,,167 PORTER ST,,LANCASTER,OH,43130-4453,(740) 653-5052,53.23.1067,Fire Protection Organization - Company,06/30/2016,07/01/2027,Active,ACTIVE,,,,,,
BEDROCK EARTHWORKS LLC,,2045 CINCINNATI ZANESVILLE RD SW,,LANCASTER,OH,43130-9286,(614) 554-7202,53.23.1068,Fire Protection Organization - Company,03/01/2018,07/01/2027,Active,ACTIVE,,,,,,
SRH SERVICES LLC,,5653 DUNCAN RD SW,,LANCASTER,OH,43130-9214,(740) 808-1673,53.23.1072,Fire Protection Organization - Company,09/24/2020,07/01/2027,Active,ACTIVE,,,,,,
GLASS CITY FIRE PROTECTION LLC,,2658 N COLUMBUS ST STE D,,LANCASTER,OH,43130-8796,(740) 785-9044,53.23.1073,Fire Protection Organization - Company,11/09/2020,07/01/2027,Active,ACTIVE,,,,,,
AXXEL ELECTRIC LLC,,1477 SUGAR GROVE RD SE,,LANCASTER,OH,43130-4863,(740) 438-7472,53.23.1074,Fire Protection Organization - Company,01/13/2021,07/01/2027,Active,ACTIVE,,,,,,
J FOSTER EXCAVATING LLC,,10319 RIDGE RD SW,,AMANDA,OH,43102-9737,(740) 207-5804,53.23.1076,Fire Protection Organization - Company,07/13/2023,07/01/2027,Active,ACTIVE,,,,,,
FAIRFIELD FIRE PROTECTION LLC,,508 W 6TH AVE,,LANCASTER,OH,43130-2449,(740) 974-0363,53.23.1077,Fire Protection Organization - Company,02/06/2024,07/01/2027,Active,ACTIVE,,,,,,
BUCKEYE FIRE AND LIFE SAFETY,,131 ALAMEDA CT,,LANCASTER,OH,43130-2202,(740) 215-6983,53.23.1081,Fire Protection Organization - Company,10/27/2025,07/01/2027,Active,ACTIVE,,,,,,
SAFEWATCH SECURITY LLC,,6958 TENT CHURCH RD NE,,LANCASTER,OH,43130-9390,(740) 503-5362,53.23.1082,Fire Protection Organization - Company,02/24/2026,07/01/2027,Active,ACTIVE,,,,,,
REMINGTON ELECTRIC,,PO BOX 667,,WASHINGTON COURT HOUSE,OH,43160-0667,(740) 463-1108,53.24.1006,Fire Protection Organization - Company,10/16/2017,07/01/2027,Active,ACTIVE,,,,,,
